relic_id,type,name,short_name,effect,effect_short,granted_skill,unlock_class_id,source_method,availability,sprite_path,param
BoxingGlove,relic,Boxing Glove,-,Deal 30% added SkillType.Stun damage with SkillType.Attack skills.,-,-,boxer,Class Quest,Post Act 2,assets/relic/boxing_glove.png,[0.3]
BrandsRosary,relic,Brand's Rosary,Rosary,"Increases Power by 0.35x Focus, and Focus by 0.35x Power.",-,-,cleric,Class Quest,Act 2,assets/relic/brands_rosary.png,[0.35]
JacquesKnife,relic,Jacques' Knife,Rosary,Critical hits gain 35% piercing. Grants Throw Knife skill.,-,Throw Knife,chef,Class Quest,Act 2,assets/relic/brands_rosary.png,[0.35;1.0]
BrawlersHeart,relic,Brawler's Heart,Brawler Heart,Toughness and SkillType.Healing received increased by 50% when at critical HP.,-,-,brawler,Class Quest,Act 5,assets/relic/brawlers_heart.png,[0.5;1.5]
BrimmedGlasses,relic,Brimmed Glasses,Brim Glasses,"Increases Speed by 0.5x Focus, but decreases Technique by 10%.",-,-,chemist,Class Quest,Act 4,assets/relic/brimmed_glasses.png,[0.5;0.9]
BurningEmber,relic,Burning Ember,Brn Ember,Boss Relic. Deal 25% added SkillType.Fire damage with SkillType.Melee skill hits. Grants Burning Skin passive.,Deal 25% added SkillType.Fire with SkillType.Melee skill hits. Grants Burning Skin.,-,-,Boss Reward,-,assets/relic/burning_ember.png,[0.25]
BuzzardsSaw,relic,Buzzard's Saw,Buzzsaw,Chance to gain a Free Turn after SkillType.Gadget skills. Grants Chainsaw skill.,-,Chainsaw,raider,Class Quest,Act 1,assets/relic/buzzards_saw.png,[20.0]
CalebsMalice,relic,Caleb's Malice,CalebsMalice,Returns 50% of direct damage taken as SkillType.Dark damage to attacker.,-,-,dark_knight,Class Quest,Act 2,assets/relic/calebs_malice.png,[0.5]
CencomManual,relic,CENCOM Manual,CENCOM Mnl,Boss Relic. Increases SkillType.Lightning damage dealt by 15%. Grants isolate.exe skill.,Increases SkillType.Lightning damage dealt by 15%. Grants isolate.exe skill.,-,-,Boss Reward,-,assets/relic/cencom_manual.png,[0.15]
CereanSalve,relic,Cerean Salve,Cer Salve,"Increases Toughness by +15 when hit by SkillType.Attack skills, up to +150.",Increases Toughness by +15 when hit by SkillType.Attack skills.,-,cactus,Class Quest,Act 5,assets/relic/cerean_salve.png,[15.0]
ChancesVest,relic,Chance's Vest,Chance Vest,Grants Gambler's Luck passive.,-,-,gambler,Class Quest,Act 5,assets/relic/chances_vest.png,[0.25;1.0]
CharmersVeil,relic,Charmer's Veil,Charm Veil,Increases SkillType.Sleep and SkillType.Stun damage dealt by 25%. Grants Charm skill.,Increases SkillType.Sleep and SkillType.Stun damage by 25%. Grants Charm.,Charm,snake_charmer,Class Quest,Act 4,assets/relic/charmers_veil.png,[0.25]
ChefsToque,relic,Chef's Toque,Chef Toque,"When channeling, reduce damage taken by 25%.",-,-,chef,Class Quest,Act 4,assets/relic/chefs_toque.png,[0.75]
ChemistBeaker,relic,Chemist Beaker,Beaker,Increases damage and healing of Items by 25%. Grants Mix.,Increases damage and healing of Items. Grants Mix.,-,chemist,Class Quest,Act 4,assets/relic/chemist_beaker.png,[0.25]
CombatCPU,relic,Combat CPU,CPU,"Converts 50% of Focus into Power, but automatically acts in battle.",-,-,combat_bot,Class Quest,Act 5,assets/relic/combat_cpu.png,[0.5]
CombatHelmet,relic,Combat Helmet,C. Helmet,Damage taken cannot be critical damage.,-,-,marine,Class Quest,Act 1,assets/relic/combat_helmet.png,-
CurtisRhythm,relic,Curtis' Rhythm,CurtisRhythm,Every other SkillType.Attack skill deals 50% increased damage.,-,-,boxer,Class Quest,Post Act 2,assets/relic/curtis_rhythm.png,[0.5]
DansBottle,relic,Dan's Bottle,Dan's Bottle,Hits with SkillType.Attack skills deal up to 5% Current HP SkillType.Physical damage over time for 3 turns. Grants Whiskey skill.,-,Whiskey,-,Class Quest,Act 1,assets/relic/dans_bottle.png,[0.05]
DanielasHat,relic,Daniela's Hat,-,Heal self for 20% Max HP when Resisting a SkillType.Debuff.,-,-,cop,Class Quest,Act 5,assets/relic/danielas_hat.png,[0.2;3]
DarkFervor,relic,Dark Fervor,-,Gain turn progress equal to half of sacrificed HP percent.,Gain turn progress equal to half of sacrificed HP pct.,-,fallen_angel,Class Quest,Act 4,assets/relic/dark_fervor.png,[50.0]
DarkHeart,relic,Dark Heart,-,Dealing SkillType.Dark damage heals you for 35% of the damage. Grants Darkblade passive.,Dealing SkillType.Dark damage heals you. Grants Darkblade passive.,-,dark_knight,Class Quest,Act 2,assets/relic/dark_heart.png,[0.35]
DarkSigil,relic,Dark Sigil,-,Converts 35% of healing received into MP healing. Grants Soultap.,Converts healing received into MP healing. Grants Soultap.,-,hellbinder,Class Quest,Act 4,assets/relic/dark_sigil.png,[0.1;0.35;0.65]
Handbook,relic,Demon Handbook,Handbook,Gain 3 stacks of Demon Shield at start of battle.,-,-,hellbinder,Class Quest,Act 4,assets/relic/handbook.png,-
DevastatorCore,relic,Devastator Core,Dvstr Core,Boss Relic. Grants Core Surge passive.,Grants Core Surge passive.,-,-,Boss Reward,-,assets/relic/devastator_core.png,-
DevilsHorn,relic,Devil's Horn,Devil Horn,Prevents being downed and gain Haste when critical once per battle.,-,-,devil,Class Quest,Act 4,assets/relic/devils_horn.png,-
DispellingWand,relic,Dispelling Wand,Dispel Wand,Increases SkillType.Energy and SkillType.Sonic damage dealt by 25%. Grants Shatter skill.,Increases SkillType.Energy and SkillType.Sonic damage by 25%. Grants Shatter.,Shatter,rune_scribe,Class Quest,Act 4,assets/relic/dispelling_wand.png,[0.25]
DragonTattoo,relic,Dragon Tattoo,Dragon Tat,Increases SkillType.Fire and SkillType.Stun damage dealt by 25%. Grants Intimidate skill.,Increases SkillType.Fire and SkillType.Stun damage by 25%. Grants Intimidate.,Intimidate,yakuza,Class Quest,Act 3,assets/relic/dragon_tattoo.png,[0.25]
DrexsShield,relic,Drex's Shield,Drex Shield,"Reduces taken damage based on missing MP, up to 50%. Grants Bone Shield skill.",Reduces taken damage based on missing MP. Grants Bone Shield skill.,Bone Shield,undead,Class Quest,Act 2,assets/relic/drexs_shield.png,[0.5;1.0]
DroneParts,relic,Drone Parts,SapperDrone,Automatically summon a random Cultist Drone before this hero's first turn in battle.,Automatically summon a random Cultist Drone before first turn.,-,-,-,-,assets/relic/drone_parts.png,[0.25;3]
DruidicStaff,relic,Druidic Staff,Druid Staff,Increases damage and healing of SkillType.Spell skills by 15%.,-,-,druid,Class Quest,Act 3,assets/relic/druidic_staff.png,[0.15]
DuctTape,relic,Duct Tape,-,"SkillType.Gadget skills deal 25% increased direct damage or healing, but have uses decreased by 1 (min 1).","SkillType.Gadget skills deal 25% increased output, but have uses decreased by 1.",-,-,-,-,assets/relic/duct_tape.png,[0.25]
VampiricTouch,relic,Edgard's Cape,Edgard Cape,Prevents applied SkillType.Debuff effects from being dispelled. Grants Dark Bond skill.,Prevents SkillType.Debuff effects from being dispelled. Grants Dark Bond.,Dark Bond,vampire,Class Quest,Act 4,assets/relic/edgards_cape.png,-
EldarScroll,relic,Eldar's Scroll,Eldar's Scrl,Decreases MP cost of SkillType.Debuff skills by 35%. Grants Dark Words.,-,-,devil,Class Quest,Act 4,assets/relic/eldars_scroll.png,[0.65]
Hourglass,relic,Eldritch Hourglass,Hourglass,Boss Relic. Increase instability at the start of your turn. Grants Telekinesis skill.,Increase instability at the start of your turn. Grants Telekinesis.,Telekinesis,-,Boss Reward,-,assets/relic/hourglass.png,[6.0]
ElgeonsChill,relic,Elgeon's Chill,Elgeon's Chl,Increases SkillType.Ice damage by 15%. Grants Blizzard skill.,Increases SkillType.Ice damage. Grants Blizzard skill.,Blizzard,ice_mage,Class Quest,Act 2,assets/relic/elgeons_chill.png,[0.15]
EnergyBracer,relic,Energy Bracer,E. Bracer,"Gain 20% of SkillType.MP damage taken as Discipline, up to +150.",-,-,sentinel,Class Quest,Act 1,assets/relic/energy_bracer.png,-
ExtremeEnergy,relic,EXTREME Energy,EXTREME Egy,Increases speed by 10%. Take 90% decreased SkillType.Sleep damage.,-,-,-,-,-,assets/relic/extreme_energy.png,[0.1;1.1]
EztlisMask,relic,Eztli's Mask,Eztli Mask,Increases SkillType.Healing power on self by 25%. Grants Bloodthirsty passive.,-,-,jaguar,Class Quest,Post Act 3,assets/relic/etzlis_mask.png,[0.25]
WhiteFace,relic,Face Paint,-,Heal self for 25% Max HP after interrupting an enemy. Grants Prank skill.,Heal self for 25% Max HP after interrupting an enemy. Grants Prank.,Prank,mime,Class Quest,Post Act 4,assets/relic/face_paint.png,[0.25]
FallenSpear,relic,Fallen Spear,-,Sacrifice 20% HP every turn and increases all attributes based on missing HP up to +50.,"Sacrifice HP every turn, increases attributes based on missing HP.",-,fallen_angel,Class Quest,Act 4,assets/relic/fallen_spear.png,[-0.2;25.0]
FencersRiposte,relic,Fencer's Rapier,Rapier,Damage gains 50% more piercing against enemies you have Taunted.,-,-,musketeer,-,-,assets/relic/riposte.png,[0.5;1.0]
FloralSeed,relic,Floral Seed,-,Your SkillType.Buff skills last an extra turn on allies. Grants Regrowth skill.,-,Regrowth,dryad,Class Quest,Act 3,assets/relic/floral_seed.png,[1.0;3;2;4]
MorphCore,relic,Morph Core,Frost Ray,Deals 1.2x Focus SkillType.Ice damage and decreases target Speed by 50% for 1 turn.,-,-,morph,-,-,assets/relic/morph_core.png,-
FrozenFist,relic,Frozen Fist,Frz Fist,Boss Relic. Deal 25% added SkillType.Ice damage with SkillType.Melee skill hits. Grants Cold Crush skill.,Deal 25% added SkillType.Ice with SkillType.Melee skill hits. Grants Cold Crush.,Cold Crush,-,Boss Reward,-,assets/relic/frozen_fist.png,[0.25]
GammaShard,relic,Gamma Shard,-,Boss Relic. Increases SkillType.Poison damage dealt by 20%. Grants Gamma Wave skill.,Increases SkillType.Poison damage dealt by 20%. Grants Gamma Wave skill.,Gamma Wave,-,Boss Reward,-,assets/relic/gamma_shard.png,[0.2]
GelatinousGoo,relic,Gelatinous Goo,Gel Goo,Boss Relic. Converts 80% of Toughness and Discipline into Endurance.,-,-,-,Boss Reward,-,assets/relic/gelatinous_goo.png,[0.2;0.8]
GeneralsStar,relic,General's Star,General Str,Automatically gain Protect from front row ally.,-,-,general,Class Quest,Act 2,assets/relic/generals_star.png,[2;7;3;5]
GnawingFang,relic,Gnawing Fang,Gnaw Fang,Deal 25% added SkillType.Physical damage with SkillType.Attack skill hits.,Deal 25% added SkillType.Physical with SkillType.Attack skill hits.,-,vampire,Class Quest,Act 4,assets/relic/gnawing_fang.png,[0.25]
GrahamsCigar,relic,Graham's Cigar,Cigar,"Take 5% decreased damage for each SkillType.Debuff on enemy, up to 50%.",Take decreased damage for each SkillType.Debuff on enemy.,-,banker,Class Quest,Act 4,assets/relic/grahams_cigar.png,[0.05;0.5;1.0]
GurusBeads,relic,Guru's Beads,Guru's Beads,Grants Mantra passive.,-,-,guru,Class Quest,Act 5,assets/relic/gurus_beads.png,-
H34LEmitter,relic,H34L Emitter,H34L Emtr,Increases SkillType.Healing output of SkillType.Gadget skills by 35%. Grants Heal Beam skill.,Increases SkillType.Gadget healing by 35%. Gain Heal Beam.,Heal Beam,med_bot,Class Quest,Act 2,assets/relic/h34l_emitter.png,[0.35]
H4RMEmitter,relic,H4RM Emitter,H4RM Emtr,"Increases Focus by +10 after each hit with a SkillType.Gadget skill, up to 10 stacks. Grants H4RM Beam skill.",-,H4RM Beam,combat_bot,Class Quest,Act 5,assets/relic/h4rm_emitter.png,[10.0]
HardenedStone,relic,Hardened Stone,HardStone,Boss Relic. Converts 80% of Speed and Agility into Toughness.,-,-,-,Boss Reward,-,assets/relic/hardened_stone.png,[0.2;0.8]
HarrysMedkit,relic,Harry's Medkit,Harry's Mdkt,Increase SkillType.Healing skill strength by 7.5% for each SkillType.Debuff on target. Grants Medkit skill.,Increase SkillType.Healing based on target's Debuffs. Grants Medkit skill.,Medkit,medic,Class Quest,Act 1,assets/relic/harrys_medkit.png,[0.075]
HavocAI,relic,HavocAI Coprocessor,HavocAI,Increases Wisdom by 50% of battle Instability percentage.,-,-,-,Class Quest,Act 5,assets/relic/havoc_ai.png,[0.008;0.5;1.0]
HerosHeart,relic,Hero's Heart,Hero Heart,Increases all attributes by 15% for each currently downed ally or empty party slot.,All attributes +15% for each currently downed ally or empty slot.,-,sentrybot,Class Quest,Act 5,assets/relic/heros_heart.png,[0.15;1.0;1.15]
HolyBlade,relic,Holy Blade,-,Increases SkillType.Holy damage by 15% and deal an additional 25% SkillType.Holy damage with SkillType.Attack skills.,Increases SkillType.Holy damage and deal extra SkillType.Holy damage with SkillType.Attack skills.,-,paladin,Class Quest,Act 3,assets/relic/holy_blade.png,[0.15;0.25]
HonorCode,relic,Honor Code,-,"Decreases damage taken by 35%, but die when downed instead of bleeding out.","Decreases dmg taken by 35%, but die immediately when downed.",-,yakuza,Class Quest,Act 3,assets/relic/honor_code.png,[0.65]
HornedHelmet,relic,Horned Helmet,Horned Helm,SkillType.Attack skills gain 25% increased piercing.,-,-,viking,Class Quest,Act 2,assets/relic/horned_helmet.png,[0.25;1.0]
SoulConduit,relic,Soul Conduit,Soul Cndt,Boss relic. Gain 20% of the attributes from Downed allies.,-,-,-,-,-,assets/relic/soul_conduit.png,-
HuntersBlood,relic,Hunter's Blood,Hunter Blood,Increases damage dealt by up to 50% based on missing HP. Grants Blood Trance skill.,Increases dmg by up to 50% based on missing HP. Grants Blood Trance.,Blood Trance,vampire_hunter,Class Quest,Act 3,assets/relic/hunters_blood.png,[0.5;1.0]
CactusTrimming,relic,Cactus Trimming,Iana's Bow,"Deal 5% increased SkillType.Attack damage for each SkillType.Debuff on target, up to 50%. Grants Needle Volley skill.",Deal +5% SkillType.Attack damage for each SkillType.Debuff on target. Grants Needle Volley.,Needle Volley,cactus,Class Quest,Start,assets/relic/judges_robes.png,[0.05]
IanasBow,relic,Iana's Bow,Iana's Bow,"Increases Technique by +15 after each hit with SkillType.Attack, up to 10 stacks. Grants Eagle Eye skill.",-,Eagle Eye,ranger,Class Quest,Start,assets/relic/ianas_bow.png,[15.0]
ImmortalSoul,relic,Immortal Soul,Immortal,Decreases taken damage based on missing HP up to 50%.,-,-,immortal,Class Quest,Act 1,assets/relic/immortal_soul.png,[0.5;1.0]
GlowingCoal,relic,Infernal Coal,Infnl Coal,Gain 35% piercing with SkillType.Fire damage from skills. Grants Flame Jet skill.,Gain 35% piercing with SkillType.Fire damage from skills. Grants Flame Jet.,Flame Jet,fire_spirit_big,Class Quest,Post Act 4,assets/relic/infernal_coal.png,[0.35;1.0]
Inferno,relic,Inferno Gem,Inferno,Converts 35% of damage taken into SkillType.Fire damage.,-,-,fire_mage,Class Quest,Start,assets/relic/inferno.png,[0.35;0.65]
InquisitorsMask,relic,Inquisitor's Mask,Inqstr Mask,"Increases Wisdom by +10 after applying a SkillType.Debuff, up to 10 stacks. Grants Strike Fear skill.",-,Strike Fear,inquisitor,Class Quest,Act 5,assets/relic/inquisitors_mask.png,[10.0;3]
Ionizer,relic,Ionizer,-,Adds 25% bonus piercing SkillType.Energy damage when you deal SkillType.Fire SkillType.Ice or SkillType.Lightning damage.,-,-,maelstrom,Class Quest,Post Act 1,assets/relic/ionizer.png,[0.25;1.0]
IronGut,relic,Iron Gut,IronGut,Using a SkillType.Alcohol skill also restores 10% Max HP.,-,-,-,Class Quest,Act 1,assets/relic/iron_gut.png,[0.1]
IshikawaGarb,relic,Ishikawa's Garb,IshiGarb,Gain up to 50% increased Agility based on turn progress. Grants Acrobatics passive.,Increased Agility based on turn progress. Grants Acrobatics passive.,-,ninja,Class Quest,Act 2,assets/relic/ninja_garb.png,[0.5;1.0]
JacksRum,relic,Jack's Rum,Jack's Rum,Increases all attributes by 15% when under the effects of SkillType.Alcohol skills. Grants Rum skill.,-,Rum,pirate,Class Quest,Act 1,assets/relic/jacks_rum.png,[1.15]
JacksonsDogTags,relic,Jackson's Dog Tags,Jackson Tags,Deal 25% increased damage to enemies with lower HP.,-,-,pirate,-,-,assets/relic/jacksons_dogtags.png,[0.25]
JaguarClaws,relic,Jaguar Claws,-,"Increases all damage by up to 50%, based on target's missing HP.",Increases all damage based on target's missing HP.,-,jaguar,Class Quest,Post Act 3,assets/relic/jaguar_claws.png,[0.5]
JavedsSpear,relic,Javed's Spear,Javed's Spr,Increases Toughness and Technique by 20%. Grants Bulwark skill.,-,Bulwark,immortal,Class Quest,Act 1,assets/relic/javeds_spear.png,[1.2]
JedsCap,relic,Jed's Cap,-,Increases Technique by +15 and +25%. Grants Track skill.,-,Track,pioneer,Class Quest,Act 2,assets/relic/jeds_cap.png,[1.25;15.0]
JestersCap,relic,Jester's Cap,-,Damage and healing dealt are randomly multiplied by either 0.5x or 2x.,Damage and healing dealt are randomly multiplied by either 0.5x or 2x.,-,jester,Class Quest,Post Act 2,assets/relic/jesters_cap.png,[0.5;2.0;50.0]
JudgesRobes,relic,Judge's Robes,-,Heal self for 10% Max HP whenever you apply a SkillType.Debuff to an enemy.,-,-,judge,Class Quest,Act 5,assets/relic/judges_robes.png,[0.1;3]
KatesDuster,relic,Kate's Duster,Kate's Dstr,Dispel one SkillType.Debuff effect after dodging. Grants Combat Roll.,Dispel SkillType.Debuff after dodging. Grants Combat Roll.,-,gunslinger,Class Quest,Act 4,assets/relic/kates_duster.png,-
SamuraiBlade,relic,Kenjiro's Katana,Katana,Dealing SkillType.MP damage heals MP equal to 35% of the damage. Grants Sever Soul skill.,Dealing SkillType.MP damage heals MP for 35% of the dmg. Grants Sever Soul.,Sever Soul,samurai,Class Quest,Act 3,assets/relic/katana.png,[0.35]
KiarasVoice,relic,Kiara's Voice,-,SkillType.Sonic damage hits decrease enemy Toughness by 10% for three turns.Stacks.,-,-,banshee,Class Quest,Act 2,assets/relic/kiaras_voice.png,[0.9]
KineticShieldGen,relic,Kinetic Shield Gen,Kinetic Shield,Grants Kinetic Barrier skill.,-,Kinetic Barrier,pirate,-,-,assets/relic/juggernauts_shield.png,-
KnightTraining,relic,Knight Training,Knight Trng,"Increases Power, Toughness, and Technique by 15%.",-,-,knight,Class Quest,Start,assets/relic/knight_training.png,[1.15]
KnuckleDuster,relic,Knuckle Duster,Knuckle Dst,"SkillType.Melee skill hits gain 35% increased critical damage, but decreases TEC by 10%. Grants Wallop skill.","SkillType.Melee hits gain +35% crit dmg, but -10% TEC. Grants Wallop.",Wallop,-,-,-,assets/relic/knuckle_duster.png,[0.35;0.9]
Incense,relic,Incense,Solitude,Increases Wisdom by 0.25x Focus.,-,-,guru,Class Quest,Act 2,assets/relic/korrs_solitude.png,[0.25]
KorrsSolitude,relic,Korr's Solitude,Solitude,Grants level 3 Lone Wolf passive.,-,-,sasquatch,Class Quest,Act 2,assets/relic/korrs_solitude.png,-
KrakenHide,relic,Kraken Hide,-,Boss Relic. Decreases taken damage by 5% for each living ally without this relic.,-,-,-,Boss Reward,-,assets/relic/kraken_hide.png,[0.05;1.0]
LichRing,relic,Krethik's Ring,Krethik Ring,Increases Wisdom by 0.35x Endurance.,-,-,lich,Class Quest,Post Act 2,assets/relic/lich_ring.png,[0.35]
LabCoat,relic,Lab Coat,-,Adds up to .5x Wisdom to SkillType.Gadget damage.,-,-,inventor,Class Quest,Act 5,assets/relic/lab_coat.png,[0.5]
LichFinger,relic,Lich Finger,Lich Fingr,Decreases turn delay of SkillType.Spell skills by 10%. Grants Wither skill.,-,Wither,lich,Class Quest,Post Act 2,assets/relic/lich_finger.png,[0.9;1.0]
LightningRod,relic,Lightning Rod,Lit Rod,Decreases SkillType.Lightning damage taken by 50%. Grants Lightning Strike skill.,Decreases SkillType.Lightning damage taken by 50%. Grants Lightning Strike.,Lightning Strike,-,-,-,assets/relic/lightning_rod.png,[0.5]
LizardScale,relic,Lizard Scale,-,Increases SkillType.Healing received by 25%. Grants Shed Skin skill.,-,Shed Skin,lizardman,Class Quest,Act 1,assets/relic/lizard_scale.png,[0.25]
