enemy_id,name,category,category_mechanics,sprite_path,n_encounters,hp,power,focus,toughness,discipline,speed,agility,endurance,wisdom,technique,base_source
BlobRed,Blob Red,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,3,,20,162,70,111,101,40,162,131,50,code
BlobYellow,Blob Yellow,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,1,,20,172,70,70,142,101,101,111,81,code
Brambler,Brambler,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/brambler.png,6,,131,40,192,131,50,40,304,50,70,extrapolated
Broodmother,Broodmother,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/broodmother.png,1,,192,142,253,192,50,50,172,101,101,code
Bunyip,Bunyip,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/bunyip.png,4,,162,50,142,50,70,50,111,50,81,code
Cencom,Cencom,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/cencom.png,1,,50,284,50,50,192,20,233,131,162,code
Champion,Champion,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,0,,192,40,131,70,101,81,192,70,142,code
ChillFist,Chill Fist,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/chill_fist.png,3,,111,142,131,111,70,50,192,81,111,code
ChronoDrone,Chrono Drone,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/chrono_drone.png,2,,142,50,131,101,111,50,131,101,81,code
Crawler,Crawler,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",,2,,101,20,131,50,40,20,81,20,50,code
CryoTurret,Cryo Turret,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,2,,111,111,101,70,101,20,111,70,131,code
CultistCaster,Cultist Caster,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/cultist_caster.png,24,,20,162,40,142,101,50,50,162,101,code
CultistInitiate,Cultist Initiate,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,7,,81,40,81,40,70,81,81,40,81,code
CultistLancer,Cultist Lancer,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/cultist_lancer.png,1,,131,81,101,111,111,131,131,81,131,code
CultistMech,Cultist Mech,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/cultist_mech.png,6,,131,20,142,50,70,40,192,101,131,code
CultistShredder,Cultist Shredder,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",,1,,192,101,253,162,131,20,172,50,70,code
CultistTank,Cultist Tank,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/cultist_tank.png,22,,142,40,131,40,81,70,162,50,111,code
DeathWorm,Death Worm,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/death_worm.png,5,,131,40,131,40,81,40,162,20,131,code
Deathcap,Deathcap,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/deathcap.png,1,,81,172,101,81,50,50,101,81,101,code
DemonGeneral,Demon General,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/demon_general.png,0,,233,81,223,131,131,50,142,101,111,code
DemonTerror,Demon Terror,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/demon_terror.png,1,,192,192,142,172,131,50,203,81,111,code
Devastator,Devastator,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/devastator.png,1,,233,101,223,162,142,20,253,111,111,code
Devoted,Devoted,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/devoted.png,4,,131,111,81,101,111,111,111,70,131,code
Dominator,Dominator,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,11,,192,40,131,50,81,101,192,70,142,code
Drone,Drone,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/drone.png,8,,70,50,50,50,131,101,70,50,81,code
Engineer,Engineer,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/engineer.png,7,,101,111,111,70,101,70,111,81,142,code
Eradicator,Eradicator,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/eradicator.png,6,,192,20,81,81,81,20,162,70,111,code
EradicatorMk2,Eradicator Mk2,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,0,,192,20,81,81,101,20,162,70,111,code
FateWeaver,Fate Weaver,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/fate_weaver.png,2,,50,233,101,253,192,81,162,162,101,code
FlameFist,Flame Fist,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/flame_fist.png,7,,131,131,111,101,101,81,162,81,111,code
ForestHeart,Forest Heart,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/forest_heart.png,2,,81,192,142,111,101,20,162,162,70,code
Gorgeworm,Gorgeworm,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/gorgeworm.png,0,,162,192,70,70,81,20,233,70,81,code
Guardian,Guardian,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/guardian.png,3,,131,50,111,50,101,70,131,70,111,code
HauntedTree,Haunted Tree,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",characters/enemy/haunted_tree.png,4,,70,162,131,70,50,40,131,162,81,code
HeavyDrone,Heavy Drone,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/heavy_drone.png,12,,131,70,131,70,81,70,111,81,101,code
HeavyDroneMk2,Heavy Drone Mk2,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,4,,192,50,131,131,111,40,142,50,101,code
HellFlame,Hell Flame,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,0,,81,131,111,81,172,131,131,81,81,code
HellPit,Hell Pit,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/hell_pit.png,2,,131,162,20,81,81,81,101,81,81,code
Hellbriar,Hellbriar,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/hellbriar.png,2,,111,40,131,50,111,50,101,81,101,code
HoloDrone,Holo Drone,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,2,,111,81,131,81,101,111,111,101,50,code
HornBeast,Horn Beast,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/horn_beast.png,7,,142,40,131,50,81,50,131,40,142,code
HuskMaster,Husk Master,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,25,,101,101,101,81,101,101,81,81,101,code
HuskMind,Husk Mind,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/husk_mind.png,1,,101,162,111,81,101,81,131,131,101,code
Imp,Imp,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",,2,,111,111,70,50,162,192,81,81,70,code
ImpBomber,Imp Bomber,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/imp_bomber.png,1,,142,50,70,70,162,162,81,50,81,code
ImpChampion,Imp Champion,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/imp_champion.png,2,,111,50,131,81,111,162,131,50,101,code
ImpDark,Imp Dark,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/imp_dark.png,2,,101,142,70,81,131,172,70,81,81,code
ImpMage,Imp Mage,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/imp_mage.png,1,,50,192,40,101,142,131,50,131,81,code
ImpToxic,Imp Toxic,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/imp_toxic.png,1,,81,81,70,70,142,142,81,81,70,code
Incanter,Incanter,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,8,,50,131,50,111,111,81,81,111,81,code
Invoker,Invoker,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,7,,50,162,81,131,111,81,131,131,81,code
KingShroom,King Shroom,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/king_shroom.png,2,,131,81,131,111,70,20,162,101,101,code
KingTerror,King Terror,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/king_terror.png,1,,264,20,192,111,131,70,264,70,111,code
Kraken,Kraken,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/kraken.png,2,,192,50,203,81,81,40,142,81,81,code
LivingSnow,Living Snow,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",,1,,40,162,162,162,111,81,162,131,101,code
MadCultist,Mad Cultist,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/mad_cultist.png,3,,162,142,142,101,101,81,172,101,131,code
Maggot,Maggot,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/maggot.png,0,,40,81,101,111,81,40,50,50,40,code
MagmaBeast,Magma Beast,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/magma_beast.png,2,,192,131,192,111,111,50,253,81,111,code
MagmaPup,Magma Pup,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/magma_pup.png,6,,172,81,131,81,131,81,131,40,81,code
Mammoth,Mammoth,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/mammoth.png,5,,192,40,131,101,40,20,233,40,81,code
ManTrap,Man Trap,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/man_trap.png,6,,162,40,131,70,81,40,253,50,101,code
MechMk2,Mech Mk2,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/mech_mk2.png,3,,142,20,142,81,101,40,192,70,131,code
MedBlobGreen,Med Blob Green,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,0,,162,20,162,50,81,20,223,20,101,code
MedBlobRed,Med Blob Red,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,2,,162,20,162,50,81,20,223,20,101,code
Mimic,Mimic,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/mimic.png,2,,81,81,81,81,131,131,101,81,81,code
MindMaster,Mind Master,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,3,,40,162,70,142,81,50,70,111,101,code
Mirror,Mirror,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/mirror.png,1,,40,192,111,233,40,40,111,81,50,code
Morel,Morel,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/morel.png,1,,50,142,70,81,81,70,70,101,101,code
Mutant,Mutant,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/mutant.png,2,,162,101,223,111,81,20,131,50,81,code
Oculo,Oculo,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/oculo.png,0,,50,142,50,101,111,101,70,131,162,code
PainWorm,Pain Worm,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",characters/enemy/pain_worm.png,1,,131,40,101,81,101,40,192,70,111,code
Parasite,Parasite,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/parasite.png,2,,81,101,142,70,70,50,101,101,111,code
Phantom,Phantom,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/phantom.png,1,,131,70,70,81,142,192,81,70,142,code
PlagueFist,Plague Fist,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,2,,131,131,131,101,111,81,142,81,101,code
Pod,Pod,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/pod.png,2,,70,162,70,70,20,50,40,70,81,code
Reaper,Reaper,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",characters/enemy/reaper.png,1,,131,131,81,101,81,111,101,81,81,code
RoboDog,Robo Dog,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",,1,,101,50,81,81,131,70,81,101,111,code
RockMonster,Rock Monster,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/rock_monster.png,0,,284,20,345,50,40,20,264,20,81,extrapolated
Ructorana,Ructorana,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/ructorana.png,2,,111,131,111,70,81,50,111,50,101,code
Sabertooth,Sabertooth,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/sabertooth.png,8,,131,40,81,70,101,81,101,40,131,code
Sandman,Sandman,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/sandman.png,3,,50,162,101,192,81,81,101,101,111,code
Sapper,Sapper,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/sapper.png,5,,101,40,101,81,101,101,131,81,101,code
SapperDrone,Sapper Drone,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/sapper_drone.png,7,,162,20,101,81,111,101,70,20,131,code
Scorpion,Scorpion,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/scorpion.png,7,,142,50,101,50,131,142,70,70,131,code
Shard,Shard,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/shard.png,1,,70,192,223,101,70,20,223,101,111,code
Shardling,Shardling,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",characters/enemy/shardling.png,0,,40,142,162,81,284,70,131,70,111,code
ShardlingMed,Shardling Med,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",characters/enemy/shardling_med.png,0,,50,162,192,101,81,40,142,81,111,code
Shroom,Shroom,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",characters/enemy/shroom.png,8,,101,81,81,101,111,101,81,81,101,code
Shroom235,Shroom235,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",,1,,253,70,131,131,172,284,233,101,192,code
SinBoss,Sin Boss,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/sin_boss.png,2,,315,233,172,131,345,81,437,131,111,extrapolated
SlasherDemon,Slasher Demon,demons,"Demons straight from the depths of Hell. Demon enemies are able to dispel SkillType.Buff effects with SkillType.Attack skills, and gain stacks of damage nullifying Demon Shield.",characters/enemy/slasher_demon.png,2,,192,20,111,81,162,111,131,81,111,code
SoulFist,Soul Fist,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/soul_fist.png,2,,131,131,111,111,101,81,142,111,101,code
SoulMaster,Soul Master,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,12,,70,131,81,131,111,50,81,81,81,code
SparkFist,Spark Fist,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,2,,142,111,101,101,142,111,131,81,81,code
Spiderling,Spiderling,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",,3,,50,70,40,40,142,253,40,50,70,code
SpiritWell,Spirit Well,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",,1,,81,131,81,162,101,20,111,131,101,code
StormCaller,Storm Caller,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",,0,,20,162,50,111,162,131,70,131,101,code
SunSeeker,Sun Seeker,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",,6,,50,162,111,81,111,40,223,50,101,code
Swarmer,Swarmer,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/swarmer.png,2,,81,20,40,40,192,233,70,81,81,code
Technician,Technician,cultists,"Normal humans and humanoids. Humans have no particular strengths or weaknesses, but can often be quite versatile.",characters/enemy/technician.png,10,,131,20,131,50,101,70,111,101,142,code
Tentacle,Tentacle,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/tentacle.png,3,,142,70,131,81,81,70,131,70,101,code
Terror,Terror,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",characters/enemy/terror.png,2,,192,20,101,101,142,111,131,50,101,code
ThrallAxe,Thrall Axe,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",,0,,162,40,111,70,142,70,111,40,81,code
ThrallSpear,Thrall Spear,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",,0,,131,40,131,50,172,81,111,40,101,code
ThrallSword,Thrall Sword,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",,0,,131,40,111,70,192,101,111,40,111,code
Tombstone,Tombstone,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",,1,,20,162,20,81,81,81,20,81,81,code
ToxicPod,Toxic Pod,plants,"Plants and plant-based life from the forest. Plant enemies regain some HP every turn through photosynthesis, but take 50% extra damage from SkillType.Ice attacks.",,2,,70,162,70,70,20,50,40,70,81,code
Troll,Troll,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/troll.png,4,,192,20,172,70,70,40,223,40,70,code
UltraDrone,Ultra Drone,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/ultra_drone.png,1,,172,50,111,81,131,20,162,101,111,code
VenomQueen,Venom Queen,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",,2,,111,162,192,131,192,20,131,70,162,code
Villain,Villain,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/villain.png,1,,203,203,131,131,701,81,162,131,192,extrapolated
VillainCyborg,Villain Cyborg,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/villain_cyborg.png,0,,253,50,142,111,396,111,192,81,131,extrapolated
VillainMutant,Villain Mutant,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/villain_mutant.png,0,,111,70,111,70,131,111,101,70,131,code
VillainSuit,Villain Suit,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/villain_suit.png,0,,111,142,81,131,284,70,142,101,81,code
VillainUndead,Villain Undead,bosses,"Bosses The most dangerous foes, empowered by dark cultist technology and power stolen from the Ancients. Beware!",characters/enemy/villain_undead.png,0,,142,131,131,131,203,81,111,131,131,code
VoidCrawler,Void Crawler,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",,0,,131,20,131,50,40,20,101,20,50,code
VoidShade,Void Shade,anomalies,"Strange creatures that do not fit any known category. Anomalies have a wide range of abilities, but no specific strengths or weaknesses.",,0,,101,131,70,111,142,111,81,81,142,code
VoidZombie,Void Zombie,undead,"Unholy abominations such as zombies, ghosts, and vampires. Undead enemies do not bleed out and often revive themselves, but take 50% extra damage from SkillType.Holy attacks.",characters/enemy/void_zombie.png,1,,142,20,162,81,101,40,142,20,81,code
WardenBot,Warden Bot,mechs,"Robots, drones, mechs, etc. Mechanical enemies are immune to SkillType.Poison and SkillType.Sleep damage, but take double SkillType.Lightning damage.",characters/enemy/warden_bot.png,2,,70,70,70,70,131,70,81,50,131,code
Wasp,Wasp,beasts,"Animals and monsters. Beasts become more dangerous when they reach critical HP levels, doubling their Speed and Power.",characters/enemy/wasp.png,1,,162,20,40,40,142,192,40,50,101,code
