class_id,quest_id,name,description,limit,reward,gem
bard,girls,Fair Maidens,Win an Extreme Danger or Boss battle with Seb and 5 female allies alive at the end of the battle.,,"+2 Skill Points, Seb's Lute Relic gains Sprite.infinity_med copies",BardsFocus
bard,spiders,Facing Fear,"Defeat the Broodmother or Venom Queen Boss with Seb in the party, and kill 5 Spiderling enemies with Seb in the party, in winning battles.",,+2 Skill Points,
bard,trio,We Merry Three,"Win 5 battles with Seb, Ralf the Jester, and Chuckles the Clown in the party.",5,"+2 Skill Points, Melodic Score Relic gains Sprite.infinity_med copies",MelodicScore
beastmaster,beast,Pack Leader,"Have Beast allies deal 5000 total damage with Ghalib in the party, in winning battles.",5000,+2 Skill Points,
beastmaster,stampede,Lead the Charge,"Have 6 total unique allies deal damage with Ghalib's Stampede skill, in winning battles.",6,"+2 Skill Points, Ghalib's Whip Relic gains Sprite.infinity_med copies",GhalibsWhip
beastmaster,summon,Beasts of Burden,"Summon each of Ghalib's Beasts (Bear, Falcon, Monkey) 5 total times, in winning battles.",,"+2 Skill Points, Trainer's Sigil Relic gains Sprite.infinity_med copies",TrainersSigil
blacksmith,flamecoat,Flames of the Forge,"Deal 3500 total added damage from Maximus' Flamecoat skill, in winning battles.",3500,+2 Skill Points,
blacksmith,imbue,Armor Smithing,"Use Maximus' Temper skill on 10 unique allies in total, in winning battles.",10,"+2 Skill Points, Vulcan's Hammer Relic gains Sprite.infinity_med copies",VulcansHammer
blacksmith,whetstone,Weapon Smithing,"Use Maximus' Whetstone skill on 10 unique allies in total, in winning battles.",10,"+2 Skill Points, Smith's Training Relic gains Sprite.infinity_med copies",SmithTraining
blood_zealot,block,Protect the Worthy,"Block 3000 total damage with Varyn's Blood Shield skill, in winning battles.",3000,+2 Skill Points,
blood_zealot,blood,Pain's Reward,"Restore 5000 total HP with Varyn's Blood Essence skill, in winning battles.",5000,"+2 Skill Points, Bloody Cloth Relic gains Sprite.infinity_med copies",BloodyCloth
blood_zealot,sacrifice,Testing Resolve,Have Varyn sacrifice 2500 total HP in winning battles.,2500,"+2 Skill Points, Martyr's Spike Relic gains Sprite.infinity_med copies",MartyrSpike
bokor,desecrate,Cursed Ground,"Deal 5000 total damage with Rene's Desecrate skill, in winning battles.",5000,+2 Skill Points,
bokor,hex,Terrifying Hexes,"Have 4 enemies affected by Rene's Hex effect at once, in a single winning battle.",4,"+2 Skill Points, Voodoo Talisman Relic gains Sprite.infinity_med copies",VoodooTalisman
bokor,undead,Zombie Whisperer,"Kill 15 total Undead enemies in winning battles, with Rene in the party.",15,"+2 Skill Points, Rene's Cane Relic gains Sprite.infinity_med copies",RenesCane
boxer,combo,Classic Combo,"Hit 5 total unique enemies with the combination of Curtis' Jab, Uppercut, and Hook skills, in winning battles.",5,"+2 Skill Points, Curtis' Rhythm Relic gains Sprite.infinity_med copies",CurtisRhythm
boxer,hook,Knockout Punch,"Strike the final blow on 5 total enemies with Curtis' Hook skill, in winning battles.",5,+2 Skill Points,
boxer,jab,Hit the Speed Bag,Use Curtis' Jab skill 10 or more times in a single winning battle.,10,"+2 Skill Points, Boxing Glove Relic gains Sprite.infinity_med copies",BoxingGlove
brawler,beatdown,Big Beatdown,"Use Tank's Beat Down skill with 10 stacks of Resolve on a Boss enemy, and win the battle.",,"+2 Skill Points, Brawler's Heart Relic gains Sprite.infinity_med copies",BrawlersHeart
brawler,bully,Big Bully,"Have Tank strike the final blow on 5 total enemies who have lower Toughness than Tank, in winnning battles.",5,+2 Skill Points,
brawler,crit,Heavy Blows,"Deal 25 total critical hits with Tank, in winning battles.",25,"+2 Skill Points, Tank's Glove Relic gains Sprite.infinity_med copies",TanksGlove
cactus,defense,Self Defense,"Kill 20 total Human or Beast enemies in winning battles, with Echinos in the party.",20,"+2 Skill Points, Cactus Trimming Relic gains Sprite.infinity_med copies",CactusTrimming
cactus,heal,In Bloom,"Restore 3000 total ally or self HP with Echinos while her Take Root skill is active, in winning battles.",3000,"+2 Skill Points, Cerean Salve Relic gains Sprite.infinity_med copies",CereanSalve
cactus,poison,Toxic Barbs,"Deal 4000 total SkillType.Poison damage to enemies with Echinos, in winning battles.",4000,+2 Skill Points,
caveman,biker,Rock and Roll,Win 10 battles with both Og and Big Dan the Biker in the party.,10,+2 Skill Points,
caveman,ka,Ka Krak,"Have Ka strike the final blow on 3 total enemies, in winning battles.",3,"+2 Skill Points, Primal Bond Relic gains Sprite.infinity_med copies",PrimalBond
caveman,mammoth,Big Game Hunter,"Kill 3 total Mammoth or Sabertooth enemies in winning battles, with Og in the party.",3,"+2 Skill Points, Og's Spear Relic gains Sprite.infinity_med copies",OgsSpear
chef,food,Bon Appetit,"Use Jaques' Serve Meal skill on 9 total unique allies, in winning battles.",9,"+2 Skill Points, Chef's Toque Relic gains Sprite.infinity_med copies",ChefsToque
chef,heal,Order Up!,"Restore 5000 total ally HP with Jacques, in winning battles.",5000,+2 Skill Points,
chef,knife,Damn the Critics,"Stike the final blow on 3 total Human enemies with Jacques' Throw Knife skill, in winning battles.",3,"+2 Skill Points, Jacques' Knife Relic gains Sprite.infinity_med copies",JacquesKnife
chemist,heal,Organic Chemistry,"Restore 6000 total ally HP by using items with Olive, in winning battles.",6000,"+2 Skill Points, Chemist Beaker Relic gains Sprite.infinity_med copies",ChemistBeaker
chemist,items,Over the Counter,"Have allies other than Olive use items created by her Mix skill 10 total times, in winning battles.",10,"+2 Skill Points, Brimmed Glasses Relic gains Sprite.infinity_med copies",BrimmedGlasses
chemist,medbot,AutoMedico's Finest,Win 10 battles with both Olive and MU-21 the Med Bot in the party.,10,+2 Skill Points,
cleric,boss,Evil Cleansed,Defeat the Spirit Well Boss after using Brand's Consecrate skill in the battle.,,"+2 Skill Points, Holy Water Relic gains Sprite.infinity_med copies",HolyWater
cleric,healing,Pray for Health,"Restore 9000 total ally HP with Brand, in winning battles.",9000,+2 Skill Points,
cleric,undead,Banished to Hell,"Kill 25 total Undead enemies in winning battles, with Brand in the party.",25,"+2 Skill Points, Brand's Rosary Relic gains Sprite.infinity_med copies",BrandsRosary
clown,balloon,We All Float,"Use Chuckles' Balloon skill on 9 total unique allies, in winning battles.",9,"+2 Skill Points, Red Balloon Relic gains Sprite.infinity_med copies",RedBalloon
clown,pie,A Classic Gag,"Deal SkillType.Stun damage to Boss enemies with 3 total pies from Chuckles' Pie Gun skill, in winning battles.",3,"+2 Skill Points, Antagonist Relic gains Sprite.infinity_med copies",Antagonist
clown,prank,Check Your Shoelaces,"Use Chuckles' Prank skill 10 total times on Human enemies, in winning battles.",10,+2 Skill Points,
combat_bot,gadget,Retrofit,"Deal 1000 total damage or healing with EXU-5 via SkillType.Gadget skills other than H4RM Beam, K1-LL Beam or Self-Repair, in winning battles.",1000,"+2 Skill Points, H4RM Emitter Relic gains Sprite.infinity_med copies",H4RMEmitter
combat_bot,kill,Combat Demo,Strike the final blow on 6 total enemies in winning battles with EXU-5's K1-LL Beam skill.,6,+2 Skill Points,
combat_bot,medbot,Legacy Platform,Win 10 battles with both EXU-5 and MU-21 the Med Bot in the party.,10,"+2 Skill Points, Combat CPU Relic gains Sprite.infinity_med copies",CombatCPU
cop,firefighter,Civil Service,Win 10 battles with both Daniela and Charlie the Firefighter in the party.,10,+2 Skill Points,
cop,protect,Protective Custody,"Use Daniela's Protect skill on 9 total unique allies, in winning battles.",9,"+2 Skill Points, Police Badge Relic gains Sprite.infinity_med copies",PoliceBadge
cop,resist,Immunity,"Resist 25 total SkillType.Debuff with Daniela, in winning battles.",25,"+2 Skill Points, Daniela's Hat Relic gains Sprite.infinity_med copies",DanielasHat
dark_knight,boss,Testing the Source,"Hit the Spirit Well Boss with Caleb's Sever Soul skill, and win the battle.",,"+2 Skill Points, Dark Heart Relic gains Sprite.infinity_med copies",DarkHeart
dark_knight,dark,Darkness Overwhelming,"Deal 10,000 total SkillType.Dark damage to enemies with Caleb, in winning battles.",10000,+2 Skill Points,
dark_knight,eclipse,Total Blackout,"Deal 1666 total damage with a single use of Caleb's Eclipse skill, and win the battle.",1666,"+2 Skill Points, Caleb's Malice Relic gains Sprite.infinity_med copies",CalebsMalice
devil,bargain,Collecting Souls,"Use Illia's Bargain skill on 6 total unique allies, in winning battles.",6,+2 Skill Points,
devil,hellpit,Seeking Promotion,Defeat the Hell Pit Boss with Illia in the party.,,"+2 Skill Points, Devil's Horn Relic gains Sprite.infinity_med copies",DevilsHorn
devil,words,Whispers from the Dark,"Apply any of Illia's Dark Words skills to enemies 25 total times, in winning battles.",25,"+2 Skill Points, Eldar's Scroll Relic gains Sprite.infinity_med copies",EldarScroll
diva,heartbreak,Love Will Tear Us Apart,"Strike the final blow on 2 total enemies with Sophia's Heartbreaker skill, in winning battles.",2,"+2 Skill Points, Sophia's Glass Relic gains Sprite.infinity_med copies",SophiasGlass
diva,medley,Meet Me in the Middle,"Deal 5000 total damage to enemies and restore 2000 total HP to allies with Sophia, in winning battles.",,+2 Skill Points,
diva,trance,Unfaithful,Have 5 total enemies affected by Sophia's Lover's Trance at once in a single winning battle.,5,"+2 Skill Points, Red Rose Relic gains Sprite.infinity_med copies",DivasInfluence
doctor,icu,Intensive Care,"Revive 3 total allies with Ramesh's ICU skill, in winning battles.",3,"+2 Skill Points, Booster Shot Relic gains Sprite.infinity_med copies",BoosterShot
doctor,malpractice,Do no Harm?,"Deal 5000 total damage to enemies with Ramesh's Malpractice skill, in winning battles.",5000,+2 Skill Points,
doctor,prescribe,Script Writer,"Use any of Ramesh's Prescribe skills on 10 unique allies in total, in winning battles.",10,"+2 Skill Points, Pill Bottle Relic gains Sprite.infinity_med copies",PillBottle
druid,acolyte,Restoring Balance,"Kill 15 total Acolyte or Avatar enemies in winning battles, with Selyse in the party.",15,"+2 Skill Points, Druidic Staff Relic gains Sprite.infinity_med copies",DruidicStaff
druid,balance,Destroy and Rebuild,"Deal 4000 total damage to enemies and restore 4000 total HP to allies with Selyse, in winning battles.",,+2 Skill Points,
druid,double,Nature's Power,Use Selyse's Star Fury or Gaia's Embrace twice in a single winning battle.,2,"+2 Skill Points, Attunement Relic gains Sprite.infinity_med copies",Attunement
dryad,charm,Forest's Enchantment,"Apply Valeriya's Charm skill to 15 total enemies, in winning battles.",15,"+2 Skill Points, Valerian Root Relic gains Sprite.infinity_med copies",DryadsWill
dryad,human,Forest's Revenge,"Kill 20 total Human enemies in winning battles, with Valeriya in the party.",20,+2 Skill Points,
dryad,spear,Forest's Power,"Deal 900 damage with a single use of Valeriya's Vine Spear skill, and win the battle.",900,"+2 Skill Points, Floral Seed Relic gains Sprite.infinity_med copies",FloralSeed
fallen_angel,angel,Regaining Favor,Win 10 battles with both Eligor and Asariel the Angel in the party.,10,+2 Skill Points,
fallen_angel,flight,Death from Above,"Deal 10,000 total damage with Eligor while Flight is active, in winning battles.",10000,"+2 Skill Points, Fallen Spear Relic gains Sprite.infinity_med copies",FallenSpear
fallen_angel,mortal_sin,Contrition,"Dispel 20 or more stacks of Mortal Sin with a single use of Eligor's Penance skill, and win the battle.",20,"+2 Skill Points, Dark Fervor Relic gains Sprite.infinity_med copies",DarkFervor
fire_mage,combust,Raging Inferno,"Deal 2000 total damage in a single use of Zane's Combust skill, and win the battle.",2000,"+2 Skill Points, Inferno Gem Relic gains Sprite.infinity_med copies",Inferno
fire_mage,fire,Firestarter,"Deal 10,000 total SkillType.Fire damage to enemies with Zane, in winning battles.",10000,+2 Skill Points,
fire_mage,turns,Furious Flames,Have Zane take 10 or more turns in a single winning battle.,10,"+2 Skill Points, Zane's Passion Relic gains Sprite.infinity_med copies",ZanesPassion
fire_spirit_big,firemage,Twin Flames,Win 10 battles with both Igneo and Zane the Fire Mage in the party.,10,"+2 Skill Points, Pot Shard Relic gains Sprite.infinity_med copies",PotShard
fire_spirit_big,infernal,All Consuming,"Deal 6,000 total SkillType.Fire damage to enemies with Igneo's Infernal Spirit skill, in winning battles.",6000,+2 Skill Points,
fire_spirit_big,innerfire,Growing Blaze,"Reach 7 stacks of Inner Fire on Igneo, in a single winning battle.",,"+2 Skill Points, Infernal Coal Relic gains Sprite.infinity_med copies",GlowingCoal
firefighter,demon,Burn Protection,"Kill 25 total Demon enemies in winning battles, with Charlie in the party.",25,"+2 Skill Points, Rebreather Relic gains Sprite.infinity_med copies",Rebreather
firefighter,inspire,Inspiring Heroism,"Use Charlie's Inspire skill with at least 6 stacks of Heroism in an Extreme Danger or Boss battle, and win the battle.",6,"+2 Skill Points, Safety Manual Relic gains Sprite.infinity_med copies",SafetyBook
firefighter,protect,First Responder,"Prevent 2000 total damage to allies with Charlie's Protect skill, in winning battles.",2000,+2 Skill Points,
gambler,dice,Rollin' Doubles,"Roll doubles 13 total times with Chance's Roll Dice skill, in winning battles.",13,+2 Skill Points,
gambler,dodge_crit,Uncanny Luck,"Dodge 13 total hits and deal 13 total critical hits with Chance, in winning battles.",,"+2 Skill Points, Chance's Vest Relic gains Sprite.infinity_med copies",ChancesVest
gambler,jinx,"Tough Luck, Pal","Apply Chance's Jinx skill to 13 total unique enemies, in winning battles.",13,"+2 Skill Points, Lucky Joker Relic gains Sprite.infinity_med copies",LuckyJoker
general,command,Supreme Commander,"Use George's Command skill on 10 total unique allies, in winning battles.",10,"+2 Skill Points, General's Star Relic gains Sprite.infinity_med copies",GeneralsStar
general,gadget,Supply Chain,"Use 30 total SkillType.Gadget skills in winning battles, with George in the party.",30,+2 Skill Points,
general,squad,Active Duty,"Win a Boss battle with George, Darius the Marine, and Harry the Medic in the party.",,"+2 Skill Points, Battle Plans Relic gains Sprite.infinity_med copies",BattlePlan
gladiator,gladius,Viggo the Bold,Strike the final blow with Viggo's Gladius skill on 5 total enemies in winning Extreme Danger or Boss battles.,5,"+2 Skill Points, Viggo's Gladius Relic gains Sprite.infinity_med copies",ViggosGladius
gladiator,kill,New Challenges,"Kill 25 total non-Human, non-Beast enemies in winning battles, with Viggo in the party.",25,+2 Skill Points,
gladiator,nodowned,Blood and Sand,"Have Viggo reach critical HP in 5 winning battles, without him being downed.",5,"+2 Skill Points, Roman Cassis Relic gains Sprite.infinity_med copies",RomanCassis
golem,elite,Crusher,Win 5 Extreme Danger or Boss battles with Rock in the party.,5,"+2 Skill Points, Rock Fist Relic gains Sprite.infinity_med copies",RockFist
golem,protect,Ultimate Protector,"Prevent 5000 total damage to allies with Rock's Protect skill, in winning battles.",5000,+2 Skill Points,
golem,spellscreen,Nestled in Magic,"Block 1000 total damage with Rock's Spellscreen skill, in winning battles.",1000,"+2 Skill Points, Runed Stone Relic gains Sprite.infinity_med copies",RunedStone
gunslinger,leadstorm,Blazing Barrels,"Have Kate's War or Peace trigger 13 or more times in one use of Leadstorm, and win the battle.",13,"+2 Skill Points, Loaded Die Relic gains Sprite.infinity_med copies",LoadedDie
gunslinger,showdown,Showdown,"Kill a Gunslinger or Lawbringer husk with Kate in the party, and win the battle.",,"+2 Skill Points, Kate's Duster Relic gains Sprite.infinity_med copies",KatesDuster
gunslinger,war_peace,Ambidextrous,"Deal 5000 total damage with Kate's War and 5000 total damage with Kate's Peace, in winning battles.",,+2 Skill Points,
guru,balance,Balance,"Deal 10,008 total damage or healing with Sandeep's Doom Prophecy and Nirvana skills, in winning battles.",10008,+2 Skill Points,
guru,healer,Devotion,"Have Sandeep remove 18 total SkillType.Debuff from allies with his Faith Healing skill, in winning battles.",18,"+2 Skill Points, Incense Relic gains Sprite.infinity_med copies",Incense
guru,mantra,Mindfulness,Have Sandeep reach 9 stacks of his Mantra passive in a single winning battle.,,"+2 Skill Points, Guru's Beads Relic gains Sprite.infinity_med copies",GurusBeads
hellbinder,implosion,Natural 20,"Strike the final blow on 2 total enemies with Dave's Implosion skill, in winning battles.",2,"+2 Skill Points, Dark Sigil Relic gains Sprite.infinity_med copies",DarkSigil
hellbinder,imps,Mighty Summoner,Have Dave Bind all three Imp types in a single winning battle.,3,"+2 Skill Points, Demon Handbook Relic gains Sprite.infinity_med copies",Handbook
hellbinder,medley,Show Off,"Deal 2000 total SkillType.Physical damage, 2000 total SkillType.Dark damage, and 2000 total SkillType.Energy damage with Dave's Bound Imps in winning battles.",,+2 Skill Points,
ice_mage,block,Impenetrable Shell,"Block 2500 total damage with Elgeon's Frost Shield skill, in winning battles.",2500,"+2 Skill Points, Mage's Crystal Relic gains Sprite.infinity_med copies",MagesWisdom
ice_mage,frostbite,Frozen Solid,"Have 3 enemies with at least 5 Frostbite stacks from Elgeon at once, in a single winning battle.",,"+2 Skill Points, Elgeon's Chill Relic gains Sprite.infinity_med copies",ElgeonsChill
ice_mage,ice,Ice Storm,"Deal 12,000 total SkillType.Ice damage to enemies with Elgeon, in winning battles.",12000,+2 Skill Points,
immortal,bulwark,Sturdy Shield,"Prevent 5000 total damage to allies with Javed's Bulwark skill, in winning battles.",5000,+2 Skill Points,
immortal,impale,On a Pike,"Strike the final blow on 2 enemies with Javed's Impale skill, in a single winning battle.",2,"+2 Skill Points, Javed's Spear Relic gains Sprite.infinity_med copies",JavedsSpear
immortal,replace,The Unstoppable Soldier,"Have Javed bleed out and be replaced via his Replacement skill 5 total times, in winning battles.",5,"+2 Skill Points, Immortal Soul Relic gains Sprite.infinity_med copies",ImmortalSoul
inquisitor,army,People's Army,Win 3 Extreme Danger or Boss battles with Haven and either Rafael the Sentinel or Cain the Maelstrom in the party.,3,+2 Skill Points,
inquisitor,dominate,Force of Will,"Apply Haven's Dominate Mind skill to 10 total unique enemies, in winning battles.",10,"+2 Skill Points, Inquisitor's Mask Relic gains Sprite.infinity_med copies",InquisitorsMask
inquisitor,invigorate,Glorious Purpose,"Restore 1500 total MP to a Fortified ally with Haven's Invigorate skill, in winning battles.",1500,"+2 Skill Points, Pain Limiter Relic gains Sprite.infinity_med copies",PainLimiter
inventor,gadget,The Tools and the Talent,"Have Otto deal damage with 7 total unique SkillType.Gadget skills, in winning battles.",7,"+2 Skill Points, Otto's Boots Relic gains Sprite.infinity_med copies",OttosBoots
inventor,invent,Mass Production,"Have allies deal 2500 total damage or healing with skills granted by Otto's Invent skill, in winning battles.",2500,+2 Skill Points,
inventor,killbot,It's in the Name,"Have Otto's KillBot strike the final blow on 3 total enemies, in winning battles.",3,"+2 Skill Points, Lab Coat Relic gains Sprite.infinity_med copies",LabCoat
jackal,human,Weighing Hearts,"Kill 25 total Human enemies in winning battles, with Amenemhet in the party.",25,"+2 Skill Points, Ankh Staff Relic gains Sprite.infinity_med copies",AnkhStaff
jackal,mp,Feeding Souls,"Restore 1500 total MP to allies via Amenemhet's Spirit Nexus skill, in winning battles.",1500,+2 Skill Points,
jackal,team,Guiding the Flock,"Win battles with Amenemhet in the party, along with 10 other unique allies in total.",10,"+2 Skill Points, Shepherd's Spirit Relic gains Sprite.infinity_med copies",ShepherdsSpirit
jaguar,bleed,Sharpened Claws,"Deal 2000 total SkillType.Physical damage to enemies via damage over time SkillType.Debuff effects with Eztli, in winning battles.",2000,+2 Skill Points,
jaguar,captive,Taking Captives,"Win 3 total battles with Eztli in the party, without him scoring a final blow.",3,"+2 Skill Points, Eztli's Mask Relic gains Sprite.infinity_med copies",EztlisMask
jaguar,pounce,Fearless Hunter,"Use Eztli's Pounce skill on a Human enemy, a Beast enemy, a Mechanical enemy, and a Boss enemy, in winning battles.",4,"+2 Skill Points, Jaguar Claws Relic gains Sprite.infinity_med copies",JaguarClaws
jester,dodge,Can't Hit Me,"Dodge 20 total hits with Ralf, in winning battles.",20,+2 Skill Points,
jester,nomiss,Bullseye,"Deal damage to enemies with any of Ralf's skills 33 total times in a row without missing, in winning battles.",33,"+2 Skill Points, Jester's Cap Relic gains Sprite.infinity_med copies",JestersCap
jester,songs,Jaunty Tunes,"Use any of Ralf's SkillType.Song skills 10 total times, in winning battles.",10,"+2 Skill Points, Ralf's Flute Relic gains Sprite.infinity_med copies",RalfsFlute
judge,allrise,Oyez Oyez Oyez,"Restore 3000 HP with a single use of Rupert's All Rise skill, and win the battle.",3000,"+2 Skill Points, Judge's Robes Relic gains Sprite.infinity_med copies",JudgesRobes
judge,debuff,Crime and Punishment,"Apply 50 total SkillType.Debuff to enemies with Rupert, in winning battles.",50,+2 Skill Points,
judge,judgment,The Hanging Judge,"Strike the final blow on 7 total enemies with Rupert's Judgment skill, in winning battles.",7,"+2 Skill Points, Rupert's Gavel Relic gains Sprite.infinity_med copies",RupertsGavel
keekuko,freeturn,Faster than Light,"Have Keekuko earn 15 total Free Turns, in winning battles.",15,"+2 Skill Points, Rare Heirloom Relic gains Sprite.infinity_med copies",RareHeirloom
keekuko,relics,Gimme Gimme,Win a battle with Keekuko in the party while he has 4 Boss Relics equipped.,,+2 Skill Points,
keekuko,tbreak,Shiny Power,"Use 10 total Time Break Techs while Keekuko is in the party, in winning battles.",10,"+2 Skill Points, Priceless Treasure Relic gains Sprite.infinity_med copies",PricelessTreasure
knight,chivalry,Chivalrous Duty,"Prevent 4000 total damage to allies with Leon's Protect skill, in winning battles.",4000,+2 Skill Points,
knight,joust,Strike True,"Strike the final blow on 2 enemies at once with a single use of Leon's Joust skill, and win the battle.",,"+2 Skill Points, Leon's Sword Relic gains Sprite.infinity_med copies",LeonsSword
knight,slayer,Dragon Slayer,Win 6 Extreme Danger or Boss battles with Leon in the party.,6,"+2 Skill Points, Knight Training Relic gains Sprite.infinity_med copies",KnightTraining
lich,devour,Your Soul is Mine,"Remove 10 total enemies with Krethik's Devour Soul skill, in winning battles.",10,"+2 Skill Points, Lich Finger Relic gains Sprite.infinity_med copies",LichFinger
lich,lowmp,Limit Testing,"Have Krethik's MP reach below 5% remaining in a winning battle, without him being downed.",,"+2 Skill Points, Krethik's Ring Relic gains Sprite.infinity_med copies",LichRing
lich,medley,Terrifying Power,"Deal 3500 total SkillType.Poison damage, 3000 total SkillType.Dark damage, and 2500 total SkillType.Stun damage with Krethik's SkillType.Spell skills in winning battles.",,+2 Skill Points,
linebacker,blitz,Lay the Lumber,"Deal 5000 total damage to enemies with Paul while using his Blitz Stance, in winning battles.",5000,"+2 Skill Points, Blitzer's Speed Relic gains Sprite.infinity_med copies",BlitzersSpeed
linebacker,wrestler,Trash Talk Bros,Win 5 Extreme Danger or Boss battles with both Paul and Zeke the Wrestler in the party.,5,+2 Skill Points,
linebacker,zone,"Bend, don't Break","Prevent 3000 total damage to allies with Paul's Zone Defense skill, in winning battles.",3000,"+2 Skill Points, Padded Helmet Relic gains Sprite.infinity_med copies",PaddedHelmet
lizardman,egg,Delicioussss Eggs,"Defeat the Broodmother Boss with Seth in the party, after killing 3 of her eggs in the battle.",3,"+2 Skill Points, Lizard Scale Relic gains Sprite.infinity_med copies",LizardScale
lizardman,poison,Venomoussss,"Deal 3000 SkillType.Poison damage to enemies with Seth, in winning battles.",3000,+2 Skill Points,
lizardman,spider,Crush the Sssspiders,"Kill 12 total Spiderling enemies in winning battles, with Seth in the party.",12,"+2 Skill Points, Seth's Toxin Relic gains Sprite.infinity_med copies",SethsToxin
lumian,dodge,Blinding Light,"Dodge 25 total hits with Luna, in winning battles.",25,"+2 Skill Points, Radiant Mote Relic gains Sprite.infinity_med copies",RadiantMote
lumian,mp,Collective Vitality,"Restore 2000 total MP to allies via Luna's Energize skill, in winning battles.",2000,+2 Skill Points,
lumian,wave,Radiant Power,"Deal 1000 total damage with a single use of Luna's Energy Wave skill, and win the battle.",1000,"+2 Skill Points, Lumian Battery Relic gains Sprite.infinity_med copies",LumianBattery
maelstrom,calm,Contain the Chaos,"Win an Extreme Danger or Boss battle with Cain in the party, without activating his Chaos Storm skill.",,"+2 Skill Points, Storm Visor Relic gains Sprite.infinity_med copies",StormVisor
maelstrom,lightning,Unleash the Storm,"Deal 15,000 total SkillType.Lightning damage with Cain, in winning battles.",15000,+2 Skill Points,
maelstrom,sentinel,Comrades in Arms,Win 10 battles with both Cain and Rafael the Sentinel in the party.,10,"+2 Skill Points, Ionizer Relic gains Sprite.infinity_med copies",Ionizer
magician,dodge,Misdirection,"Dodge 15 total hits with Oksana, in winning battles.",15,"+2 Skill Points, Magic Wand Relic gains Sprite.infinity_med copies",MagicWand
magician,enemy,Stop Hitting Yourself,"Have enemies deal 1000 total damage to each other with Oksana in the party, in winning battles.",1000,+2 Skill Points,
magician,sleep,Deeper and Deeper,"Put enemies to sleep 10 total times with Oksana in the party, in winning battles.",10,"+2 Skill Points, Pocket Watch Relic gains Sprite.infinity_med copies",Pocketwatch
marine,buster,Bunker Buster,"Strike the final blow on 2 enemies at once with a single use of any of Darius' SkillType.Gadget skills, and win the battle.",,"+2 Skill Points, Combat Helmet Relic gains Sprite.infinity_med copies",CombatHelmet
marine,covering,Light 'em Up,"Deal 2500 total damage with Darius' M16 skill during another hero's turn, in winning battles.",2500,+2 Skill Points,
